ts,game_id,game_name,igdb_id,viewers,channels
2026-09-14T00:41:40Z,515025,Overwatch,125174,271304,1819
2026-09-14T00:41:40Z,509658,Just Chatting,,261640,4325
2026-09-14T00:41:40Z,32982,Grand Theft Auto V,1020,156984,2722
2026-09-14T00:41:40Z,743893402,WARDOGS,388285,118862,2316
2026-09-14T00:41:40Z,18122,World of Warcraft,123,116694,984
2026-09-14T00:41:40Z,511224,Apex Legends,114795,63004,1587
2026-09-14T00:41:40Z,21779,League of Legends,115,59359,2067
2026-09-14T00:41:40Z,33214,Fortnite,1905,49249,5270
2026-09-14T00:41:40Z,516575,VALORANT,126459,42439,2452
2026-09-14T00:41:40Z,29452,Virtual Casino,45517,40892,49
2026-09-14T00:41:40Z,327598602,Onimusha: Way of the Sword,325602,32877,613
2026-09-14T00:41:40Z,32399,Counter-Strike,,33293,1060
2026-09-14T00:41:40Z,498566,Slots,,29275,79
2026-09-14T00:41:40Z,509672,IRL,,28517,492
2026-09-14T00:41:40Z,27471,Minecraft,135400,26135,2682
2026-09-14T00:41:40Z,29595,Dota 2,,25016,673
2026-09-14T00:41:40Z,1264310518,Marvel Rivals,294041,23415,2194
2026-09-14T00:41:40Z,499973,Always On,,19696,418
2026-09-14T00:41:40Z,491487,Dead by Daylight,18866,17888,1908
2026-09-14T00:41:40Z,902998079,Halloween: The Game,362096,15626,1237
2026-09-14T00:41:40Z,508455,Valheim,104967,14767,1001
2026-09-14T00:41:40Z,509659,ASMR,,14622,151
2026-09-14T00:41:40Z,512710,Call of Duty: Warzone,131800,13361,1824
2026-09-14T00:41:40Z,458781,No Man's Sky,3225,12804,316
2026-09-14T00:41:40Z,460630,Rainbow Six Siege,7360,12267,1593
2026-09-14T00:41:40Z,491962037,Big Ambitions,152779,11858,8
2026-09-14T00:41:40Z,602040818,NBA 2K27,408823,11010,2351
2026-09-14T00:41:40Z,1294658629,R.E.P.O.,332780,10959,219
2026-09-14T00:41:40Z,19619,Tibia,9596,10823,545
2026-09-14T00:41:40Z,313468,Death Road to Canada,21634,10733,4
2026-09-14T00:41:40Z,31339,Project Zomboid,3189,10119,323
2026-09-14T00:41:40Z,515024,Diablo IV,125165,9706,143
2026-09-14T00:41:40Z,504461,Super Smash Bros. Ultimate,90101,9799,94
2026-09-14T00:41:40Z,27284,Retro,,9689,315
2026-09-14T00:41:40Z,509660,Art,,9035,537
2026-09-14T00:41:40Z,624536948,EA Sports FC 26,353848,8416,658
2026-09-14T00:41:40Z,513143,Teamfight Tactics,120176,8567,188
2026-09-14T00:41:40Z,23020,ROBLOX,17269,7565,2209
2026-09-14T00:41:40Z,488190,Poker,,7370,99
2026-09-14T00:41:40Z,66082,Games + Demos,,7731,1090
2026-09-14T00:41:40Z,493057,PUBG: BATTLEGROUNDS,27789,7688,524
2026-09-14T00:41:40Z,757932712,Cryo,374688,7033,4
2026-09-14T00:41:40Z,1669431183,DJs,,7119,186
2026-09-14T00:41:40Z,1357871551,The Blood of Dawnwalker,282831,6897,482
2026-09-14T00:41:40Z,491931,Escape from Tarkov,15536,6570,399
2026-09-14T00:41:40Z,30921,Rocket League,11198,6314,879
2026-09-14T00:41:40Z,386821,Black Desert,6292,6087,180
2026-09-14T00:41:40Z,512953,ELDEN RING,119133,6215,508
2026-09-14T00:41:40Z,417528,Albion Online,19698,6062,128
2026-09-14T00:41:40Z,509663,Special Events,,6008,114
2026-09-14T00:41:40Z,24241,FINAL FANTASY XIV ONLINE,386,5761,473
2026-09-14T00:41:40Z,26936,Music,,5136,475
2026-09-14T00:41:40Z,272263131,"Animals, Aquariums, and Zoos",,5713,298
2026-09-14T00:41:40Z,13332,Pokémon FireRed/LeafGreen,,4790,90
2026-09-14T00:41:40Z,2132205352,Deadlock,301298,5106,346
2026-09-14T00:41:40Z,138585,Hearthstone,1279,5057,72
2026-09-14T00:41:40Z,464339927,ARC Raiders,185258,5009,771
2026-09-14T00:41:40Z,499003,VRChat,33615,5025,149
2026-09-14T00:41:40Z,27546,World of Tanks,1184,4904,62
2026-09-14T00:41:40Z,1702520304,Path of Exile 2,125642,4544,220
2026-09-14T00:41:40Z,263490,Rust,3277,4547,201
2026-09-14T00:41:40Z,513181,Genshin Impact,119277,4548,285
