ts,game_id,game_name,igdb_id,viewers,channels
2026-09-09T00:52:51Z,509658,Just Chatting,,266698,4884
2026-09-09T00:52:51Z,32982,Grand Theft Auto V,1020,241225,3244
2026-09-09T00:52:51Z,491931,Escape from Tarkov,15536,55969,697
2026-09-09T00:52:51Z,21779,League of Legends,115,45341,2135
2026-09-09T00:52:51Z,516575,VALORANT,126459,43840,2551
2026-09-09T00:52:51Z,902998079,Halloween: The Game,362096,44277,2396
2026-09-09T00:52:51Z,33214,Fortnite,1905,39729,5122
2026-09-09T00:52:51Z,509672,IRL,,29173,445
2026-09-09T00:52:51Z,1357871551,The Blood of Dawnwalker,282831,28346,717
2026-09-09T00:52:51Z,511224,Apex Legends,114795,27419,1739
2026-09-09T00:52:51Z,327598602,Onimusha: Way of the Sword,325602,27710,760
2026-09-09T00:52:51Z,27471,Minecraft,135400,26134,2685
2026-09-09T00:52:51Z,32399,Counter-Strike,,25609,1278
2026-09-09T00:52:51Z,515025,Overwatch,125174,24936,1508
2026-09-09T00:52:51Z,29595,Dota 2,,24466,603
2026-09-09T00:52:51Z,491487,Dead by Daylight,18866,21712,2708
2026-09-09T00:52:51Z,1264310518,Marvel Rivals,294041,20789,1906
2026-09-09T00:52:51Z,29452,Virtual Casino,45517,19540,40
2026-09-09T00:52:51Z,18122,World of Warcraft,123,19609,1583
2026-09-09T00:52:51Z,499973,Always On,,19104,426
2026-09-09T00:52:51Z,498566,Slots,,19516,72
2026-09-09T00:52:51Z,512710,Call of Duty: Warzone,131800,15395,1901
2026-09-09T00:52:51Z,10609,Pokémon Emerald Version,1517,16805,53
2026-09-09T00:52:51Z,513143,Teamfight Tactics,120176,16690,252
2026-09-09T00:52:51Z,602040818,NBA 2K27,408823,16099,3324
2026-09-09T00:52:51Z,13332,Pokémon FireRed/LeafGreen,,14656,119
2026-09-09T00:52:51Z,1702520304,Path of Exile 2,125642,14168,388
2026-09-09T00:52:51Z,512953,ELDEN RING,119133,11707,581
2026-09-09T00:52:51Z,509659,ASMR,,11716,153
