ts,game_id,game_name,igdb_id,viewers,channels
2026-09-17T02:31:03Z,509658,Just Chatting,,251663,4529
2026-09-17T02:31:03Z,32982,Grand Theft Auto V,1020,134271,2616
2026-09-17T02:31:03Z,743893402,WARDOGS,388285,86264,2165
2026-09-17T02:31:03Z,21779,League of Legends,115,52025,1993
2026-09-17T02:31:03Z,509672,IRL,,41057,452
2026-09-17T02:31:03Z,1267582829,Aniimo,348202,33538,2353
2026-09-17T02:31:03Z,516575,VALORANT,126459,32431,2396
2026-09-17T02:31:03Z,33214,Fortnite,1905,26876,4533
2026-09-17T02:31:03Z,18122,World of Warcraft,123,32377,1738
2026-09-17T02:31:03Z,75101830,Marvel's Wolverine,168667,32387,2795
2026-09-17T02:31:03Z,498566,Slots,,31372,99
2026-09-17T02:31:03Z,515025,Overwatch,125174,29054,1766
2026-09-17T02:31:03Z,1264310518,Marvel Rivals,294041,27621,2313
2026-09-17T02:31:03Z,123184772,EA Sports FC 27,408819,23950,61
2026-09-17T02:31:03Z,27471,Minecraft,135400,22565,2527
2026-09-17T02:31:03Z,32399,Counter-Strike,,20013,1024
2026-09-17T02:31:03Z,491487,Dead by Daylight,18866,20524,2195
2026-09-17T02:31:03Z,29595,Dota 2,,21184,491
2026-09-17T02:31:03Z,508455,Valheim,104967,16907,943
2026-09-17T02:31:03Z,511224,Apex Legends,114795,15176,1987
2026-09-17T02:31:03Z,30921,Rocket League,11198,15275,1025
2026-09-17T02:31:03Z,499973,Always On,,14437,427
2026-09-17T02:31:03Z,602040818,NBA 2K27,408823,13627,2713
2026-09-17T02:31:03Z,509659,ASMR,,13648,170
2026-09-17T02:31:03Z,29452,Virtual Casino,45517,12899,30
2026-09-17T02:31:03Z,512710,Call of Duty: Warzone,131800,12582,1790
2026-09-17T02:31:03Z,515024,Diablo IV,125165,12049,529
2026-09-17T02:31:03Z,513143,Teamfight Tactics,120176,11840,187
2026-09-17T02:31:03Z,902998079,Halloween: The Game,362096,11507,964
2026-09-17T02:31:03Z,458781,No Man's Sky,3225,11745,251
2026-09-17T02:31:03Z,488190,Poker,,11400,56
2026-09-17T02:31:03Z,2132205352,Deadlock,301298,11451,418
2026-09-17T02:31:03Z,19619,Tibia,9596,9407,533
2026-09-17T02:31:03Z,509660,Art,,8963,591
2026-09-17T02:31:03Z,401587136,Arena Breakout: Infinite,298915,9026,355
2026-09-17T02:31:03Z,491931,Escape from Tarkov,15536,8155,443
2026-09-17T02:31:03Z,498592,I'm Only Sleeping,71001,8018,156
2026-09-17T02:31:03Z,464339927,ARC Raiders,185258,7978,819
2026-09-17T02:31:03Z,460630,Rainbow Six Siege,7360,8178,1426
2026-09-17T02:31:03Z,27284,Retro,,7962,352
2026-09-17T02:31:03Z,26936,Music,,7020,506
2026-09-17T02:31:03Z,509663,Special Events,,6987,91
2026-09-17T02:31:03Z,1357871551,The Blood of Dawnwalker,282831,6759,340
2026-09-17T02:31:03Z,24241,FINAL FANTASY XIV ONLINE,386,6365,667
2026-09-17T02:31:03Z,66082,Games + Demos,,6317,843
2026-09-17T02:31:03Z,1099705332,Tomodachi Life: Living the Dream,337036,6438,39
2026-09-17T02:31:03Z,670138298,Madden NFL 27,400379,5787,1248
2026-09-17T02:31:03Z,417528,Albion Online,19698,5822,146
2026-09-17T02:31:03Z,1230742965,TCG Card Shop Simulator,309862,5683,115
2026-09-17T02:31:03Z,1447325110,The Texas Chain Saw Massacre,185238,36,15
2026-09-17T02:31:03Z,1669431183,DJs,,5821,175
2026-09-17T02:31:03Z,23020,ROBLOX,17269,5119,1530
2026-09-17T02:31:03Z,55453844,Street Fighter 6,191692,5383,132
2026-09-17T02:31:03Z,512953,ELDEN RING,119133,5326,473
2026-09-17T02:31:03Z,459931,Old School RuneScape,79824,5260,182
2026-09-17T02:31:03Z,31339,Project Zomboid,3189,4675,267
2026-09-17T02:31:03Z,499003,VRChat,33615,4874,189
2026-09-17T02:31:03Z,499634,Crypto,76760,4935,100
2026-09-17T02:31:03Z,33180,The Last of Us,1009,4871,22
2026-09-17T02:31:03Z,327598602,Onimusha: Way of the Sword,325602,4475,455
2026-09-17T02:31:03Z,9618,Pokémon Trading Card Game,4567,3876,105
2026-09-17T02:31:03Z,12924,Warcraft III,,3793,64
2026-09-17T02:31:03Z,386821,Black Desert,6292,3615,135
2026-09-17T02:31:03Z,2124871354,RuneScape: Dragonwilds,337712,3484,566
2026-09-17T02:31:03Z,138585,Hearthstone,1279,3442,74
2026-09-17T02:31:03Z,509066,Remnant: From the Ashes,105049,3389,6
2026-09-17T02:31:03Z,272263131,"Animals, Aquariums, and Zoos",,3330,295
2026-09-17T02:31:03Z,509577,Dungeons & Dragons,,3363,168
2026-09-17T02:31:03Z,1630982727,Where Winds Meet,214414,3271,81
2026-09-17T02:31:03Z,513181,Genshin Impact,119277,3164,289
2026-09-17T02:31:03Z,65632,DayZ,2117,3133,214
2026-09-17T02:31:03Z,19357,Guild Wars 2,1183,3081,85
2026-09-17T02:31:03Z,518184,Phasmophobia,132516,2902,281
2026-09-17T02:31:03Z,1118273312,Tokyo Game Show 2026,,3007,14
2026-09-17T02:31:03Z,460951,Geometry Dash,11642,2842,129
2026-09-17T02:31:03Z,509511,Marbles on Stream,116975,2800,102
2026-09-17T02:31:03Z,13332,Pokémon FireRed/LeafGreen,,2753,73
2026-09-17T02:31:03Z,779192097,Fire Emblem: Fortune's Weave,366896,2604,101
2026-09-17T02:31:03Z,502829,R2 Online: Reign of Revolution,91269,2596,13
2026-09-17T02:31:03Z,9435,The Legend of Zelda: A Link to the Past,1026,2571,42
2026-09-17T02:31:03Z,493959,Red Dead Redemption II,25076,2524,373
2026-09-17T02:31:03Z,66170,Warframe,2903,2383,309
2026-09-17T02:31:03Z,1678532194,EA Sports College Football 27,400601,2069,1114
2026-09-17T02:31:03Z,509671,Fitness & Health,,2436,17
2026-09-17T02:31:03Z,1441208453,Once Human,204538,2280,434
2026-09-17T02:31:03Z,16282,Super Smash Bros. Melee,1627,2591,29
2026-09-17T02:31:03Z,497057,Destiny 2,25657,2208,219
2026-09-17T02:31:03Z,168648543,Battlefield 6,317407,2280,597
2026-09-17T02:31:03Z,2012789438,Call of Duty: Black Ops 7,348220,2155,514
2026-09-17T02:31:03Z,1494,Call of Duty,621,2024,1661
2026-09-17T02:31:03Z,1282866981,Delta Force,262186,2275,172
2026-09-17T02:31:03Z,1901865180,NTE: Neverness to Everness,308535,2304,74
2026-09-17T02:31:03Z,1435206302,Slay the Spire II,296831,2175,83
2026-09-17T02:31:03Z,2094865572,SMITE 2,282566,2282,114
2026-09-17T02:31:03Z,493057,PUBG: BATTLEGROUNDS,27789,2164,272
2026-09-17T02:31:03Z,1702520304,Path of Exile 2,125642,2166,154
2026-09-17T02:31:03Z,490100,Lost Ark,26128,2160,70
2026-09-17T02:31:03Z,1813168901,LEGO Batman: Legacy of the Dark Knight,361855,2142,52
2026-09-17T02:31:03Z,27546,World of Tanks,1184,2089,54
2026-09-17T02:31:03Z,2748,Magic: The Gathering,,2010,93
